Time,[s],,Analyzer,Name,,Decoded,Protocol,Result
0.000012,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.00022825,I2C,C,(0x43),+,ACK,,,
0.0004805,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.00069675,I2C,'255',(0xFF),+,ACK,,,
0.000913,I2C,m,(0x6D),+,ACK,,,
0.0011295,I2C,'254',(0xFE),+,ACK,,,
0.00134575,I2C,'222',(0xDE),+,ACK,,,
0.001562,I2C,'255',(0xFF),+,ACK,,,
0.00177825,I2C,j,(0x6A),+,NAK,,,
0.00215675,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.002373,I2C,C,(0x43),+,ACK,,,
0.0026255,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.00284175,I2C,'255',(0xFF),+,ACK,,,
0.003058,I2C,X,(0x58),+,ACK,,,
0.00327425,I2C,'254',(0xFE),+,ACK,,,
0.0034905,I2C,'234',(0xEA),+,ACK,,,
0.00370675,I2C,'255',(0xFF),+,ACK,,,
0.003923,I2C,_,(0x5F),+,NAK,,,
0.0043015,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.00451775,I2C,C,(0x43),+,ACK,,,
0.00477025,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.0049865,I2C,'255',(0xFF),+,ACK,,,
0.00520275,I2C,t,(0x74),+,ACK,,,
0.005419,I2C,'254',(0xFE),+,ACK,,,
0.00563525,I2C,'204',(0xCC),+,ACK,,,
0.00585175,I2C,'255',(0xFF),+,ACK,,,
0.006068,I2C,V,(0x56),+,NAK,,,
0.0064465,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.00666275,I2C,C,(0x43),+,ACK,,,
0.00691525,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.0071315,I2C,'255',(0xFF),+,ACK,,,
0.00734775,I2C,m,(0x6D),+,ACK,,,
0.007564,I2C,'254',(0xFE),+,ACK,,,
0.00778025,I2C,'243',(0xF3),+,ACK,,,
0.0079965,I2C,'255',(0xFF),+,ACK,,,
0.00821275,I2C,],(0x5D),+,NAK,,,
0.00859125,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0088075,I2C,C,(0x43),+,ACK,,,
0.00906,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.00927625,I2C,'255',(0xFF),+,ACK,,,
0.0094925,I2C,n,(0x6E),+,ACK,,,
0.00970875,I2C,'254',(0xFE),+,ACK,,,
0.009925,I2C,'220',(0xDC),+,ACK,,,
0.0101415,I2C,'255',(0xFF),+,ACK,,,
0.01035775,I2C,j,(0x6A),+,NAK,,,
0.01073625,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0109525,I2C,C,(0x43),+,ACK,,,
0.01120475,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.01142125,I2C,'255',(0xFF),+,ACK,,,
0.0116375,I2C,m,(0x6D),+,ACK,,,
0.01185375,I2C,'254',(0xFE),+,ACK,,,
0.01207,I2C,'245',(0xF5),+,ACK,,,
0.01228625,I2C,'255',(0xFF),+,ACK,,,
0.0125025,I2C,h,(0x68),+,NAK,,,
0.012881,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.01309725,I2C,C,(0x43),+,ACK,,,
0.01334975,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.013566,I2C,'255',(0xFF),+,ACK,,,
0.01378225,I2C,k,(0x6B),+,ACK,,,
0.0139985,I2C,'254',(0xFE),+,ACK,,,
0.01421475,I2C,'246',(0xF6),+,ACK,,,
0.01443125,I2C,'255',(0xFF),+,ACK,,,
0.0146475,I2C,c,(0x63),+,NAK,,,
0.01502575,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.01524225,I2C,C,(0x43),+,ACK,,,
0.0154945,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.01571075,I2C,'255',(0xFF),+,ACK,,,
0.015927,I2C,e,(0x65),+,ACK,,,
0.01614325,I2C,'254',(0xFE),+,ACK,,,
0.01635975,I2C,'246',(0xF6),+,ACK,,,
0.016576,I2C,'255',(0xFF),+,ACK,,,
0.01679225,I2C,c,(0x63),+,NAK,,,
0.01717075,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.017387,I2C,C,(0x43),+,ACK,,,
0.01763925,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.0178555,I2C,'255',(0xFF),+,ACK,,,
0.01807175,I2C,'131',(0x83),+,ACK,,,
0.018288,I2C,'254',(0xFE),+,ACK,,,
0.01850425,I2C,'233',(0xE9),+,ACK,,,
0.01872075,I2C,'255',(0xFF),+,ACK,,,
0.018937,I2C,z,(0x7A),+,NAK,,,
0.01931525,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0195315,I2C,C,(0x43),+,ACK,,,
0.019784,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.02000025,I2C,'255',(0xFF),+,ACK,,,
0.0202165,I2C,c,(0x63),+,ACK,,,
0.02043275,I2C,'254',(0xFE),+,ACK,,,
0.020649,I2C,'243',(0xF3),+,ACK,,,
0.02086525,I2C,'255',(0xFF),+,ACK,,,
0.0210815,I2C,V,(0x56),+,NAK,,,
0.02146,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.02167625,I2C,C,(0x43),+,ACK,,,
0.02192875,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.022145,I2C,'255',(0xFF),+,ACK,,,
0.02236125,I2C,u,(0x75),+,ACK,,,
0.0225775,I2C,'254',(0xFE),+,ACK,,,
0.02279375,I2C,'215',(0xD7),+,ACK,,,
0.02301,I2C,'255',(0xFF),+,ACK,,,
0.02322625,I2C,V,(0x56),+,NAK,,,
0.0236045,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.023821,I2C,C,(0x43),+,ACK,,,
0.02407325,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.0242895,I2C,'255',(0xFF),+,ACK,,,
0.02450575,I2C,'128',(0x80),+,ACK,,,
0.024722,I2C,'254',(0xFE),+,ACK,,,
0.0249385,I2C,'219',(0xDB),+,ACK,,,
0.02515475,I2C,'255',(0xFF),+,ACK,,,
0.025371,I2C,k,(0x6B),+,NAK,,,
0.0257495,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.02596575,I2C,C,(0x43),+,ACK,,,
0.026218,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.02643425,I2C,'255',(0xFF),+,ACK,,,
0.0266505,I2C,p,(0x70),+,ACK,,,
0.02686675,I2C,'254',(0xFE),+,ACK,,,
0.02708325,I2C,'221',(0xDD),+,ACK,,,
0.0272995,I2C,'255',(0xFF),+,ACK,,,
0.02751575,I2C,s,(0x73),+,NAK,,,
0.02789425,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0281105,I2C,C,(0x43),+,ACK,,,
0.02836275,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.028579,I2C,'255',(0xFF),+,ACK,,,
0.02879525,I2C,'127',(0x7F),+,ACK,,,
0.02901175,I2C,'254',(0xFE),+,ACK,,,
0.02922775,I2C,'239',(0xEF),+,ACK,,,
0.029444,I2C,'255',(0xFF),+,ACK,,,
0.02966025,I2C,_,(0x5F),+,NAK,,,
0.030039,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.03025525,I2C,C,(0x43),+,ACK,,,
0.03050775,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.03072375,I2C,'255',(0xFF),+,ACK,,,
0.03094,I2C,'134',(0x86),+,ACK,,,
0.0311565,I2C,'254',(0xFE),+,ACK,,,
0.03137275,I2C,'254',(0xFE),+,ACK,,,
0.031589,I2C,'255',(0xFF),+,ACK,,,
0.03180525,I2C,n,(0x6E),+,NAK,,,
0.03218375,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0324,I2C,C,(0x43),+,ACK,,,
0.0326525,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.03286875,I2C,'255',(0xFF),+,ACK,,,
0.033085,I2C,c,(0x63),+,ACK,,,
0.03330125,I2C,'254',(0xFE),+,ACK,,,
0.0335175,I2C,'234',(0xEA),+,ACK,,,
0.03373375,I2C,'255',(0xFF),+,ACK,,,
0.03395,I2C,c,(0x63),+,NAK,,,
0.0343285,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
