Time [s], Analyzer Name, Decoded Protocol Result
0.000012250000000,I2C,Setup Write to [0xD0] + ACK
0.000228500000000,I2C,0x6B + ACK
0.000444500000000,I2C,0x80 + ACK
0.029687500000000,I2C,Setup Write to [0xD0] + ACK
0.029903750000000,I2C,0x6B + ACK
0.030120000000000,I2C,0x00 + ACK
0.057870750000000,I2C,Setup Write to [0xD0] + ACK
0.058087000000000,I2C,0x6D + ACK
0.058303250000000,I2C,0x70 + ACK
0.086021500000000,I2C,Setup Write to [0xD0] + ACK
0.086237750000000,I2C,0x6E + ACK
0.086454000000000,I2C,0x06 + ACK
0.117303500000000,I2C,Setup Write to [0xD0] + ACK
0.117519500000000,I2C,0x6F + ACK
0.117772000000000,I2C,Setup Read to [0xD1] + ACK
0.117988000000000,I2C,0xA5 + NAK
0.191757250000000,I2C,Setup Write to [0xD0] + ACK
0.191973250000000,I2C,0x6D + ACK
0.192189500000000,I2C,0x00 + ACK
0.224065750000000,I2C,Setup Write to [0xD0] + ACK
0.224282000000000,I2C,0x00 + ACK
0.224534250000000,I2C,Setup Read to [0xD1] + ACK
0.224750500000000,I2C,0x81 + NAK
0.280413500000000,I2C,Setup Write to [0xD0] + ACK
0.280629750000000,I2C,0x00 + ACK
0.280882000000000,I2C,Setup Read to [0xD1] + ACK
0.281098500000000,I2C,0x81 + NAK
0.281536750000000,I2C,Setup Write to [0xD0] + ACK
0.281753000000000,I2C,0x01 + ACK
0.282005250000000,I2C,Setup Read to [0xD1] + ACK
0.282221500000000,I2C,0x79 + NAK
0.282659750000000,I2C,Setup Write to [0xD0] + ACK
0.282876000000000,I2C,0x02 + ACK
0.283128250000000,I2C,Setup Read to [0xD1] + ACK
0.283344500000000,I2C,0x81 + NAK
0.382385250000000,I2C,Setup Write to [0xD0] + ACK
0.382601250000000,I2C,0x25 + ACK
0.382817500000000,I2C,0x7F + ACK
0.412639750000000,I2C,Setup Write to [0xD0] + ACK
0.412856000000000,I2C,0x6A + ACK
0.413108250000000,I2C,Setup Read to [0xD1] + ACK
0.413324500000000,I2C,0x00 + NAK
