Time,[s],,Analyzer,Name,,Decoded,Protocol,Result
0.000012,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.00022825,I2C,k,(0x6B),+,ACK,,,
0.0004445,I2C,'128',(0x80),+,ACK,,,
0.02969,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.02990625,I2C,k,(0x6B),+,ACK,,,
0.0301225,I2C,'0',(0x00),+,ACK,,,
0.05787525,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0580915,I2C,m,(0x6D),+,ACK,,,
0.05830775,I2C,p,(0x70),+,ACK,,,
0.0860295,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.08624575,I2C,n,(0x6E),+,ACK,,,
0.086462,I2C,'6',(0x06),+,ACK,,,
0.11731625,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.1175325,I2C,o,(0x6F),+,ACK,,,
0.11778475,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.118001,I2C,'165',(0xA5),+,NAK,,,
0.1917735,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.1919895,I2C,m,(0x6D),+,ACK,,,
0.19220575,I2C,'0',(0x00),+,ACK,,,
0.22408675,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.224303,I2C,'0',(0x00),+,ACK,,,
0.2245555,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.22477175,I2C,'129',(0x81),+,NAK,,,
0.28044125,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.28065725,I2C,'0',(0x00),+,ACK,,,
0.2809095,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.28112575,I2C,'129',(0x81),+,NAK,,,
0.28156425,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.2817805,I2C,'1',(0x01),+,ACK,,,
0.28203275,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.28224875,I2C,y,(0x79),+,NAK,,,
0.28268725,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.2829035,I2C,'2',(0x02),+,ACK,,,
0.28315575,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.283372,I2C,'129',(0x81),+,NAK,,,
0.38242675,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.382643,I2C,%,(0x25),+,ACK,,,
0.38285925,I2C,'127',(0x7F),+,ACK,,,
0.41268825,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.4129045,I2C,j,(0x6A),+,ACK,,,
0.41315675,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.413373,I2C,'0',(0x00),+,NAK,,,
0.41373525,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.4139515,I2C,j,(0x6A),+,ACK,,,
0.41416775,I2C,'0',(0x00),+,ACK,,,
0.457166,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.45738225,I2C,%,(0x25),+,ACK,,,
0.4575985,I2C,h,(0x68),+,ACK,,,
0.49055125,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.4907675,I2C,j,(0x6A),+,ACK,,,
0.49101975,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.491236,I2C,'0',(0x00),+,NAK,,,
0.4915725,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.49178875,I2C,j,(0x6A),+,ACK,,,
0.492005,I2C,'2',(0x02),+,ACK,,,
0.55331825,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5535345,I2C,m,(0x6D),+,ACK,,,
0.55375075,I2C,'0',(0x00),+,ACK,,,
0.55406625,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5542825,I2C,n,(0x6E),+,ACK,,,
0.5544985,I2C,'0',(0x00),+,ACK,,,
0.5555115,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.55572775,I2C,o,(0x6F),+,ACK,,,
0.555944,I2C,'251',(0xFB),+,ACK,,,
0.5562565,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.55647275,I2C,o,(0x6F),+,ACK,,,
0.556689,I2C,'252',(0xFC),+,ACK,,,
0.55700125,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5572175,I2C,o,(0x6F),+,ACK,,,
0.55743375,I2C,'253',(0xFD),+,ACK,,,
0.55774625,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5579625,I2C,o,(0x6F),+,ACK,,,
0.55817875,I2C,'254',(0xFE),+,ACK,,,
0.558491,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.55870725,I2C,o,(0x6F),+,ACK,,,
0.5589235,I2C,'255',(0xFF),+,ACK,,,
0.559236,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.55945225,I2C,o,(0x6F),+,ACK,,,
0.55966875,I2C,'0',(0x00),+,ACK,,,
0.559981,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.56019725,I2C,o,(0x6F),+,ACK,,,
0.5604135,I2C,'1',(0x01),+,ACK,,,
0.560726,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.56094225,I2C,o,(0x6F),+,ACK,,,
