Time [s], Analyzer Name, Decoded Protocol Result
0.004113000000000,I2C,Setup Write to ['208' (0xD0)] + ACK
0.004329250000000,I2C,u (0x75) + ACK
0.004581500000000,I2C,Setup Read to ['209' (0xD1)] + ACK
0.004797750000000,I2C,h (0x68) + NAK
0.005103250000000,I2C,Setup Write to ['208' (0xD0)] + ACK
0.005319500000000,I2C,k (0x6B) + ACK
0.005571750000000,I2C,Setup Write to ['208' (0xD0)] + ACK
0.005788000000000,I2C,'0' (0x00) + ACK
0.006040250000000,I2C,Setup Read to ['209' (0xD1)] + ACK
0.006256500000000,I2C,n (0x6E) + ACK
0.006473000000000,I2C,'0' (0x00) + ACK
0.006689250000000,I2C,'129' (0x81) + ACK
0.006905500000000,I2C,'174' (0xAE) + ACK
0.007121750000000,I2C,'204' (0xCC) + ACK
0.007338000000000,I2C,'222' (0xDE) + NAK
0.007639500000000,I2C,Setup Write to ['208' (0xD0)] + ACK
0.007855750000000,I2C,; (0x3B) + ACK
0.008108000000000,I2C,Setup Read to ['209' (0xD1)] + ACK
0.008324250000000,I2C,'195' (0xC3) + ACK
0.008540500000000,I2C,'28' (0x1C) + ACK
0.008756750000000,I2C,'6' (0x06) + ACK
0.008973000000000,I2C,8 (0x38) + ACK
0.009189500000000,I2C,'233' (0xE9) + ACK
0.009405750000000,I2C,'144' (0x90) + NAK
0.009707000000000,I2C,Setup Write to ['208' (0xD0)] + ACK
0.009923250000000,I2C,u (0x75) + ACK
0.010175750000000,I2C,Setup Read to ['209' (0xD1)] + ACK
0.010392000000000,I2C,h (0x68) + NAK
0.010704250000000,I2C,Setup Write to ['208' (0xD0)] + ACK
0.010920750000000,I2C,'28' (0x1C) + ACK
0.011137000000000,I2C,'24' (0x18) + ACK
